category,text
business,go-ahead for balkan oil pipeline albania  bulgaria and macedonia has given the go ahead for the construction of a $1.2bn oil pipeline that will pass through the balkan peninsula.  the project aims to allow alternative ports for the shipping of russian and caspian oil  that normally goes through turkish ports. it aims to transport 750 000 daily barrels of oil. the pipeline will be built by the us-registered albanian macedonian bulgarian oil corporation (ambo). the 912km pipeline will run from the bulgarian port of burgas  over the black sea to the albanian city of vlore on the adriatic coast  crossing macedonia.  the project was conceived in 1994 but it was delayed because of the lack of political support. by signing the agreement on tuesday  the prime ministers of bulgaria  albania and macedonia have overcome the problem.  this is one of the most important infrastructure projects for regional  eu  and euro-atlantic integration for the western balkans   said albanian prime minister fatos nano. according to pat ferguson  president of ambo  work on the pipeline will begin in 2005 and it is expected to be ready in three or four years. he added that the company had already raised about $900m from the overseas private investment corporation (opic) - a us development agency - the eximbank and credit suisse first boston  among others. the project has also the support of the european union. analysts have said that oil companies like chevrontexaco  exxon mobil and british petroleum would be happy to find alternative routes to the bosphorus and dardanelles straits.
business,us interest rate rise expected us interest rates are expected to rise for the fifth time since june following the us federal reserve s latest rate-setting meeting later on tuesday.  borrowing costs are tipped to rise by a quarter of a percentage point to 2.25%. the move comes as a recovery in the us economy  the world s biggest  shows signs of robustness and sustainability. the dollar s record-breaking decline  meanwhile  has spooked markets and along with high oil prices has raised concerns about the pace of inflation.  we are seeing evidence that inflation is moving higher   said ken kim  an analyst at stone & mccarthy research.  it s not a risk  it s actually happening.  mr kim added that borrowing costs could rise further.  the fed has said that it will move in a  measured  way to combat price growth and lift interest rates from their 40-year lows that were prompted by sluggish us and global growth.  with the economic picture now looking more rosy  the fed has implemented quarter percentage point rises in june  august  september and november. although the us economy grew at an annual rate of 3.9% in the three months to september  analysts warn that fed has to be careful not to move too aggressively and take the wind out of the recovery s sails. earlier this month figures showed that job creation is still weak  while consumer confidence is subdued.  i think the fed feels it has a fair amount of flexibility   said david berson  chief economist at fannie mae.  while inflation has moved up  it hasn t moved up a lot.   if economic growth should subside... the fed would feel it has the flexibility to pause in its tightening.  but if economic growth picked up and caused core inflation to rise a little more quickly  i think the fed would be prepared to tighten more quickly as well.
sport,gardener battles to narrow win jason gardener fought all the way to the line to narrowly claim the men s 60m title at the norwich union indoor trials and aaas championships.  the world 60m champion got off to a rolling start and had to dig deep to dip ahead of mark findlay and darren chin  who both set personal bests.  it was a close race   admitted gardener.  i stumbled out the blocks but my experience told through.  i still feel there s more life in me and i believe i can go faster.  gardener s performance in sheffield could have been affected by the news  which he heard before his semi-final  that his european record had been broken frenchman ronald pognon  who will be a real threat at the european championships  set a new time of 6.45  one-hundreth of a second faster than gardener s previous mark. favourite  delivered a powerful performance to take the women s 60m title in 7.27 seconds.  you ll see me in madrid and i feel there is a lot more to come along   said the 22-year-old. katherine endacott battled hard to take second and dip under the european qualifying mark. defending champion joice maduaka had pulled out of the final with a chest infection.  was on record-breaking form as she stormed to the women s 60m hurdles crown. the 25-year-old set a new british record for the second time in seven days  clocking 7.96 seconds to finish ahead of rival diane allahgreen.  i m so happy   a tearful claxton told bbc sport.  all the years i ve been running and i m getting recognition.  claxton s time was also good enough to qualify for the european championships.  the men s 800m went to form in sheffield as  dominated the race from start to finish. the northern ireland athlete went off at a startling pace but had to hold off the challenge of welshman jimmy watkins over the final 200m to win in one minute  47.96 seconds. both mcilory and watkins  who set a life-time best of 1:48.32  had already booked their places in madrid and were again well within the qualifying time.  i had to go out and go through all the gears before the europeans and i won t run again until then   said mcilroy.  could not reach the european mark in the women s race as she crossed the line to win in 2:04.45. olympic bronze heptathlon medallist  rounded off a useful weekend with two more personal bests in sheffield. the 28-year-old reached 1.80m in the high jump and clocked 8.47secs in the heats of the 60m hurdles.  i ve surprised myself   said sotherton.  i m starting to thrive on the pressure but if i don t perform then it s not the end of the world.  pole vaulter  made a winning return to major competition after a drugs ban. the trafford athlete  who has served a two-year ban after testing positive for anabolic steroids  clinched the title with a championship record 4.25m.  also set a new championship mark in the men s triple jump title in sheffield. the 26-year-old  who has been training in australia over the winter  landed 17.30m with his final effort - the longest leap in the world this year.  i didn t have a clue   said idowu.  i ve not jumped indoors before and i just wanted the qualifying mark.  but this isn t a bad start and hopefully i ll come back from madrid with a gold medal.  nathan douglas continued his steady progress this season as he set a life-time best of 16.76m in second while jonathan moore took third.  and  resumed their rivalry in the long jump competition  both achieving the european standard. commonwealth champion morgan reached a personal best of 7.96m on his very first jump and then promptly retired with a bruised heel. olympian tomlinson tried to play catch up with his six jumps but had to settle for a season s best jump of 7.91m.  i was advised not to jump by my doctor and so i m pleased to come here and get the qualifying mark   said tomlinson.    now based at loughborough  sprinted past front runner catherine murphy in the final 100m to steal the women s 400m title. the 21-year-old ran a personal best of 53.45 seconds to win her first indoor title. wall s time was just short of the qualifying mark - something murphy already has. ireland s  took the men s title in 46.46 ahead of promising channel islands decathlete dale garland. sudanese 18-year-old rabah yusuf  who is seeking british citizenship  showed his raw talent as he burst through in third.  cleared the required 1.90m to qualify for the european championships and claim the aaas title in the women s high jump. in the men s 3 000m   powered to a new personal best of seven minutes  56.86 seconds to defend his aaas title in style. it was the first time in 11 years the eight-minute barrier has been broken at the championships and was just within the european mark.  took the women s 1500m aaas title in the absence of kelly holmes. her time of 4:19.11 was not good enough to qualify for madrid but ovens had already opted out of the championships. the men s race was won by    who had to fight off a closing pack to claim the title in 3:45.87.
entertainment,us  afflicted  with awards fatigue the film world and media may be wild about the oscars but cinema-goers and the tv-viewing public are sick of watching award ceremonies  according to some la film critics.  bob strauss  from the la daily news  thinks there are just too many televised gatherings of stars showering praise on each other. he came up with a colourful but unprintable description for these glitzy events  which roughly translates a  celebrity love-in . this echoed the views of oscars host and comedian chris rock  who whipped up a media storm for saying he rarely watched them  calling award shows  idiotic .  as chris rock accurately said  they re about celebrity and fashion   mr strauss said. the recent grammy music awards proved to be a ratings loser  and it seems oscars organisers are determined not to go the same way.  recently announced changes to the ceremony include lining up all five nominees on stage before announcing the winner.  unsurprisingly  this prompted press speculation that the changes were aimed at boosting flagging advertising revenue. but entertainment weekly s dave karger maintained the oscars only generated excitement outside the industry when a blockbuster  such as titanic or lord of the rings  was nominated. the near constant flow of us film awards  representing directors  actors and producers  guilds  also means  few surprises  are left by the time the oscar ceremony is upon us  he said. a quick scan of the los angeles times and los angeles daily news bears this out - speculation about who will win seems to have ground to a halt.  on thursday  the times simply printed a picture of the plastic tents going up outside the kodak theatre to protect the red carpet from rain. variety and the hollywood reporter have also kept their focus firmly on industry-related news  while in the uk bets have closed on the best actor category  with ray star jamie foxx a dead cert to win.  screen international s us editor mike goodridge thinks 2004 s films have simply not grabbed the public s imagination.  film-makers haven t produced films that people adore this year   he said.  they adored saving private ryan for example - people loved it and it made a ton of money.  2004 s films could be a reaction to 9/11 - there was a realisation in america that things might not be so rosy after all.  audiences don t necessarily want to see darker films such as million dollar baby  aviator and finding neverland  which end with casualty.  as to whether rock could pep up the awards  the critics were not hopeful.  mr strauss doubted whether rock would make an impact  but added:  i m all for lower ratings though - there are far more important things going on than the oscars.  mr karger said the comic might boost younger viewers  but mike goodridge thought rock s humour could prompt america s conservative states to switch off. so despite all this  did the critics have any views on who would win    clint eastwood s million dollar baby affected people emotionally  which is why it will beat aviator  which was about technical artistry not feelings   mr karger said.  eastwood has it in the bag   added mr strauss.  oscar voters often vote with their hearts not their heads.  and mr goodridge said best film and director were between martin scorsese s aviator and million dollar baby. mr karger  whose favourite film of the year was mike leigh s abortion drama vera drake  stayed upbeat about the awards despite his other comments.  i hope this is the year for small films to triumph   he said.  after all  it s still one of the biggest tv events of the year.
politics,tory backing for id cards the tories are to back controversial government plans to introduce id cards.  the shadow cabinet revealed its support ahead of next week s commons vote on a bill to introduce compulsory id. the decision follows a  tough meeting  where some senior tories argued vociferously against the move  party sources told the bbc. the bill  which ministers claim will tackle crime  terrorism and illegal immigration  is expected to be opposed by the liberal democrats.  they have said the scheme is  deeply flawed  and a waste of money. sources within the conservative party told the bbc michael howard has always been in favour of id cards  and tried to introduce them when he was home secretary. the party has been  agnostic  on the issue until now but had now decided to come off the fence  the tory source said. despite giving their backing to id cards  the conservatives insisted they would hold ministers to account over the precise purpose of the scheme.  they said they would also press labour over whether objectives could be met and whether the home office would deliver them. and they pledged to assess the cost effectiveness of id cards and whether people s privacy would be properly protected.  it is important to remember that this bill will take a decade to come into full effect   a spokesman said.  it will do nothing to solve the immediate problems of rising crime and uncontrolled immigration.   lib dem home affairs spokesman mark oaten said:  this has all the signs of michael howard overruling colleagues  concerns over id cards.  the tories should have the courage to try and change public opinion not follow it.  the new chairman of the bar council  guy mansfield qc warned there was a real risk that people on the  margins of society  would be driven into the hands of extremists.  what is going to happen to young asian men when there has been a bomb gone off somewhere  they are going to be stopped. if they haven t [id cards] they are going to be detained.
business,verizon  seals takeover of mci  verizon has won a takeover battle for us phone firm mci with a bid worth $6.8bn (£3.6bn)  reports say.  the two firms are expected to seal the deal on monday morning  according to news agency reports  despite what was thought to be a higher bid from qwest. the us telecoms market is consolidating fast  with former long-distance giant at&t being bought by former subsidiary sbc earlier this year for $16bn. mci exited bankruptcy in april  having gone bust under previous name worldcom. the bankruptcy followed its admission in 2002 that it illegally booked expenses and inflated profits.  shareholders lost about $180bn when the company collapsed  while 20 000 workers lost their jobs. former worldcom boss bernie ebbers is currently on trial  accused of overseeing an $11bn fraud. qwest has itself come under suspicion of sub-standard behaviour  paying the securities and exchange commission $250m in october to settle charges that it manipulated its results to keep wall street happy.  mci is the us s second-biggest long distance firm after at&t. consolidation in the us telecommunications industry has picked up in the past few months as companies look to cut costs and boost client bases. a merger between mci and verizon would be the fifth billion-dollar telecoms deal since october. last week  sbc communications agreed to buy its former parent and phone trailblazer at&t for about $16bn. buying mci would give either qwest or verizon access to mci s global network and business-based subscribers. the rationale is similar to the one underpinning sbc s at&t deal. verizon is by far the bigger company and has its own successful mobile arm - factors which may have swung the board in its favour since both suitors are offering a mixture of cash and shares.
tech,domain system opens door to scams a system to make it easier to create website addresses using alphabets like cyrillic could open a back door for scammers  a trade body has warned.  the internationalised domain names system has been a work in progress for years and has recently been approved by the internet engineering task force. but the uk internet forum (ukif) is concerned that the system will let scammers create fake sites more easily. the problem lies in the computer codes used to represent language.  registering names that look like that of legitimate companies but lead users to fake sites designed to steal passwords and credit card details could become a whole lot easier for determined scammers  says stephen dyer  director of ukif. domain names are the  real language  addresses of websites  rather than their internet protocol address  which is a series of numbers. they are used so people can more easily navigate the web. so-called ascii codes are used to represent european languages but for other languages a hybrid of a system called unicode is used. so  for example  website paypal could now be coded using a mixture of the latin alphabet and the russian alphabet. the resulting domain as displayed to the users would look identical to the real site as a russian  a  look just like an english  a . but the computer code would be different  and the site it would lead users to could be a fake. this is more than just a theory. a fake paypal.com has already been registered with net domain giant verisign by someone who has followed the debate around the internationalised domain name (idn) system  said mr dyer. as the idea was to prove a point rather than be malicious the fake domain has now been handed back to paypal but it sets a worrying precedent  mr dyer said.  although the idn problem is well known in technical circles  the commercial world is totally unaware how easily their websites can be faked   said mr dyer.   it is important to alert users that there is a new and invisible and almost undetectable way of diverting them to what looks like a perfectly genuine site   he added. there are solutions. for instance  browsers could spot domains that use mixed characters and display them in different colours as a warning to users. mr dyer acknowledged that it would be a huge undertaking to update all the world s browsers. another solution  to introduce idn-disabled browsers could be a case of  throwing out the baby with the bath water   he said. centr  the council of european national top level domain registries  agrees.  a rush to introduce idn-disabled browsers into the marketplace is an overly-zealous step that will harm public confidence in idns - a technology that is desperately needed in the non-english speaking world   the organisation said in a statement.
business,boeing secures giant japan order boeing is to supply japan airlines with up to 50 of its forthcoming 7e7 planes in a deal that could be worth as much as $6bn (£3.1bn) for the us giant.  japan airlines has made a firm order for 30 of the aircraft  at $120m each  with the option to buy 20 more. asia s biggest airline joins japanese rival all nippon as one of the first carriers to order the mid-size 7e7  which boeing says is super-economical. airbus this week announced the first pre-sale of its 7e7 rival - the a350. boeing s great european competitor is to sell 10 of its forthcoming a350 to spanish carrier air europe  which has the option to buy two more in a deal that could be worth more than $1.8bn. both the 7e7 and the a350 are being designed to be as fuel-efficient as possible in the 200- to 300-seat sector  and each will be available in both short and long range versions.  japan airlines said it had looked at both aircraft before choosing the 7e7  also known as the dreamliner.  we chose the 7e7 after carefully considering both it and airbus  aircraft   said a japan airlines spokesman.  the 7e7 fits better for what we needed and it could be delivered when we hoped to get it.  boeing continues to enjoy a dominance over airbus in japan  and japanese companies are taking key roles in building the 7e7. the first 7e7s will be delivered to japan airlines in april 2008. boeing has set itself a target of getting 200 firm commitments for the 7e7 by the end of this year  and has orders for 56 so far. airbus hopes to have 50 orders in place for the a350 by mid-2005.
business,us trade deficit widens sharply the gap between us exports and imports has widened to more than $60bn (£31.7bn)  an all-time record.  figures from the commerce department for november showed exports down 2.3% to $95.6bn  while imports grew 1.3% to $155.8bn on rising consumer demand. part of the expanding deficit came from high prices for oil imports. but the numbers suggested the sliding dollar - which makes exports less expensive - has had little impact  and could indicate slowing economic growth.  the trade deficit - far bigger than the $54bn widely expected on wall street - prompted a rapid response from the currency markets.  by 1650 gmt  the dollar was trading against the euro at $1.3280  almost a cent and a half weaker than before the announcement. against the pound  the dollar was down about 0.7% at $1 8923.  the dollar s fall has been sudden  violent and appropriate given this number   said brian taylor of wells fargo in minneapolis.  recent exchange rate movements certainly haven t had any impact yet.  treasury secretary john snow put a brave face on the news  saying it was a sign of strong economic expansion.  the economy is growing at such a fast rate that it is generating lots of disposable income... some of which is used to buy goods from our trading partners.   although the white house officially still backs the us s traditional  strong dollar  policy  it has tacitly indicated that it would be happy if the slide continued. the dollar has fallen by 50% against the euro - as well as by 30% against the yen - in the past three years. the main catalyst  most economists accept  is the large budget deficit on the one hand  and the current account deficit - the difference between the flow of money in and out of the us - on the other. the trade deficit is a large part of the latter. in november  the fall in exports was largely due to a decline in sales of industrial supplies and materials such as chemicals  as well as of cars  consumer goods and food. one small bright spot for us policy-makers was a slight decline in the deficit with china  often blamed for job losses and other economic woes. although china s overall trade surplus is expanding  according to chinese government figures  the commerce department revealed the us s deficit with china was $19.6bn in november  down from $19.7bn the month before. but the deficit with japan was at its worst in more than four years.
sport,premier league planning cole date the premier league is attempting to find a mutually convenient date to investigate allegations chelsea made an illegal approach for ashley cole.  both chelsea and arsenal will be asked to give evidence to a premier league commission  but no deadline has been put on when that meeting will convene.  it s hard to put a date on it   a premier league spokesman confirmed to bbc sport.  it s not a formal situation where they ve got so much time to respond.  arsenal and england defender cole reportedly met blues boss jose mourinho and chief executive peter kenyon in a london hotel 11 days ago. chelsea have yet to officially confirm or deny the meeting  which would be in breach of premier league rule k3.  now the gunners have asked for an inquiry to look into claims that their player has been  tapped up . both clubs have pledged to co-operate with the inquiry which will be conducted on a single day as opposed to being run as an ongoing evaluation. cole is in negotiations with the gunners over extending his current deal which ends in 2007. and his arsenal team-mate robert pires has urged the england left-back to stay at highbury. pires told the evening standard:  he has been at arsenal for ever. he is a very attacking left-back and i think he is enjoying his football because at arsenal he plays in an offensive team.  i am not sure he will get the same pleasure at chelsea  even though they are doing so well at the moment.  i have built a fantastic playing relationship with ashley.  we play together so well - we could do it with our eyes shut.  but you have to respect the decision of the player. everybody has that right.
